"110年07月27日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2615  ","萬海            ","32,943,151","19,638,215","13,304,936","0","0","0","32,943,151","19,638,215","13,304,936",
" ",="00715L","期街口布蘭特正2 ","10,593,763","627,000","9,966,763","0","0","0","10,593,763","627,000","9,966,763",
" ","1802  ","台玻            ","22,814,000","15,046,000","7,768,000","0","0","0","22,814,000","15,046,000","7,768,000",
" ","2027  ","大成鋼          ","17,630,154","10,817,299","6,812,855","0","0","0","17,630,154","10,817,299","6,812,855",
" ","2881  ","富邦金          ","13,997,911","8,109,287","5,888,624","0","0","0","13,997,911","8,109,287","5,888,624",
"*","2317  ","鴻海            ","18,673,955","12,984,320","5,689,635","0","0","0","18,673,955","12,984,320","5,689,635",
" ","3189  ","景碩            ","9,374,000","3,730,642","5,643,358","0","0","0","9,374,000","3,730,642","5,643,358",
" ","2014  ","中鴻            ","14,525,000","9,058,200","5,466,800","0","0","0","14,525,000","9,058,200","5,466,800",
" ","1605  ","華新            ","8,854,000","3,769,000","5,085,000","0","0","0","8,854,000","3,769,000","5,085,000",
" ","3034  ","聯詠            ","7,873,802","3,673,198","4,200,604","0","0","0","7,873,802","3,673,198","4,200,604",
" ",="00632R","元大台灣50反1   ","4,988,000","924,000","4,064,000","0","0","0","4,988,000","924,000","4,064,000",
" ","3545  ","敦泰            ","10,366,010","6,684,285","3,681,725","0","0","0","10,366,010","6,684,285","3,681,725",
" ","2607  ","榮運            ","7,000,000","3,786,000","3,214,000","0","0","0","7,000,000","3,786,000","3,214,000",
" ","2023  ","燁輝            ","13,341,000","10,133,000","3,208,000","0","0","0","13,341,000","10,133,000","3,208,000",
" ",="00885 ","富邦越南        ","3,408,000","205,200","3,202,800","0","0","0","3,408,000","205,200","3,202,800",
" ","5608  ","四維航          ","9,009,010","5,987,000","3,022,010","0","0","0","9,009,010","5,987,000","3,022,010",
" ","1608  ","華榮            ","5,075,000","2,087,000","2,988,000","0","0","0","5,075,000","2,087,000","2,988,000",
" ","2884  ","玉山金          ","6,546,124","3,633,762","2,912,362","0","0","0","6,546,124","3,633,762","2,912,362",
" ","2882  ","國泰金          ","9,829,276","6,946,154","2,883,122","0","0","0","9,829,276","6,946,154","2,883,122",
" ","2022  ","聚亨            ","5,585,000","2,750,000","2,835,000","0","0","0","5,585,000","2,750,000","2,835,000",
" ","4938  ","和碩            ","4,497,676","1,919,393","2,578,283","0","0","0","4,497,676","1,919,393","2,578,283",
" ","1455  ","集盛            ","3,785,000","1,356,000","2,429,000","0","0","0","3,785,000","1,356,000","2,429,000",
" ","2880  ","華南金          ","4,719,136","2,326,561","2,392,575","0","0","0","4,719,136","2,326,561","2,392,575",
" ","1303  ","南亞            ","5,231,860","2,840,324","2,391,536","0","0","0","5,231,860","2,840,324","2,391,536",
" ","2015  ","豐興            ","3,157,000","775,000","2,382,000","0","0","0","3,157,000","775,000","2,382,000",
" ","2401  ","凌陽            ","13,377,000","11,079,000","2,298,000","0","0","0","13,377,000","11,079,000","2,298,000",
" ","2636  ","台驊投控        ","6,866,000","4,697,000","2,169,000","0","0","0","6,866,000","4,697,000","2,169,000",
" ","4958  ","臻鼎-KY         ","3,176,389","1,083,000","2,093,389","0","0","0","3,176,389","1,083,000","2,093,389",
" ","2371  ","大同            ","2,366,000","331,000","2,035,000","0","0","0","2,366,000","331,000","2,035,000",
"*","2454  ","聯發科          ","6,326,780","4,304,976","2,021,804","0","0","0","6,326,780","4,304,976","2,021,804",
" ","2601  ","益航            ","10,451,000","8,440,100","2,010,900","0","0","0","10,451,000","8,440,100","2,010,900",
" ",="00642U","期元大S&P石油   ","1,917,000","0","1,917,000","0","0","0","1,917,000","0","1,917,000",
" ","1301  ","台塑            ","3,586,428","1,744,477","1,841,951","0","0","0","3,586,428","1,744,477","1,841,951",
" ",="00891 ","中信關鍵半導體  ","1,790,100","8,000","1,782,100","0","0","0","1,790,100","8,000","1,782,100",
" ",="00881 ","國泰台灣5G+     ","1,960,050","184,000","1,776,050","0","0","0","1,960,050","184,000","1,776,050",
" ","2030  ","彰源            ","6,535,000","4,760,000","1,775,000","0","0","0","6,535,000","4,760,000","1,775,000",
