"110年09月02日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2303  ","聯電            ","99,213,512","65,060,993","34,152,519","0","0","0","99,213,512","65,060,993","34,152,519",
" ","2882  ","國泰金          ","18,092,339","6,275,400","11,816,939","0","0","0","18,092,339","6,275,400","11,816,939",
" ","2884  ","玉山金          ","19,654,719","10,334,000","9,320,719","0","0","0","19,654,719","10,334,000","9,320,719",
" ","2603  ","長榮            ","25,397,699","17,125,276","8,272,423","0","0","0","25,397,699","17,125,276","8,272,423",
" ","2609  ","陽明            ","18,950,079","10,755,110","8,194,969","0","0","0","18,950,079","10,755,110","8,194,969",
" ","2601  ","益航            ","9,920,000","3,483,000","6,437,000","0","0","0","9,920,000","3,483,000","6,437,000",
" ","2880  ","華南金          ","9,329,873","3,182,001","6,147,872","0","0","0","9,329,873","3,182,001","6,147,872",
" ",="00881 ","國泰台灣5G+     ","6,343,010","526,000","5,817,010","0","0","0","6,343,010","526,000","5,817,010",
" ","2890  ","永豐金          ","14,030,086","8,541,487","5,488,599","0","0","0","14,030,086","8,541,487","5,488,599",
" ",="00715L","期街口布蘭特正2 ","5,600,000","516,270","5,083,730","0","0","0","5,600,000","516,270","5,083,730",
" ","2340  ","光磊            ","7,363,000","2,712,140","4,650,860","0","0","0","7,363,000","2,712,140","4,650,860",
" ",="00882 ","中信中國高股息  ","5,154,000","565,000","4,589,000","0","0","0","5,154,000","565,000","4,589,000",
" ","1802  ","台玻            ","9,745,100","5,207,000","4,538,100","0","0","0","9,745,100","5,207,000","4,538,100",
" ","2606  ","裕民            ","7,372,246","3,476,496","3,895,750","0","0","0","7,372,246","3,476,496","3,895,750",
"*","2330  ","台積電          ","17,800,043","14,252,168","3,547,875","0","0","0","17,800,043","14,252,168","3,547,875",
" ","2892  ","第一金          ","5,492,898","2,264,000","3,228,898","0","0","0","5,492,898","2,264,000","3,228,898",
" ","2337  ","旺宏            ","9,896,000","6,785,815","3,110,185","0","0","0","9,896,000","6,785,815","3,110,185",
" ","2454  ","聯發科          ","4,413,903","1,333,663","3,080,240","0","0","0","4,413,903","1,333,663","3,080,240",
" ","3037  ","欣興            ","7,102,997","4,322,119","2,780,878","0","0","0","7,102,997","4,322,119","2,780,878",
" ","1605  ","華新            ","4,723,628","2,029,055","2,694,573","0","0","0","4,723,628","2,029,055","2,694,573",
" ","8150  ","南茂            ","4,507,000","1,993,000","2,514,000","0","0","0","4,507,000","1,993,000","2,514,000",
