"110年07月20日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ",="00637L","元大滬深300正2  ","6,951,000","1,204,000","5,747,000","0","0","0","6,951,000","1,204,000","5,747,000",
" ","2313  ","華通            ","6,966,000","1,967,000","4,999,000","0","0","0","6,966,000","1,967,000","4,999,000",
" ","2340  ","光磊            ","6,631,000","1,867,000","4,764,000","0","0","0","6,631,000","1,867,000","4,764,000",
" ","1802  ","台玻            ","13,532,000","9,002,000","4,530,000","0","0","0","13,532,000","9,002,000","4,530,000",
" ","3711  ","日月光投控      ","8,522,070","4,172,100","4,349,970","0","0","0","8,522,070","4,172,100","4,349,970",
" ","2368  ","金像電          ","5,991,000","2,135,000","3,856,000","0","0","0","5,991,000","2,135,000","3,856,000",
" ","3037  ","欣興            ","7,028,748","3,234,200","3,794,548","0","0","0","7,028,748","3,234,200","3,794,548",
" ","2314  ","台揚            ","7,184,050","3,537,000","3,647,050","0","0","0","7,184,050","3,537,000","3,647,050",
" ","3017  ","奇鋐            ","4,215,000","1,379,000","2,836,000","0","0","0","4,215,000","1,379,000","2,836,000",
" ","2884  ","玉山金          ","14,660,463","11,938,600","2,721,863","0","0","0","14,660,463","11,938,600","2,721,863",
" ","2601  ","益航            ","6,458,000","3,741,000","2,717,000","0","0","0","6,458,000","3,741,000","2,717,000",
" ","1714  ","和桐            ","4,337,000","1,676,000","2,661,000","0","0","0","4,337,000","1,676,000","2,661,000",
" ","4919  ","新唐            ","5,970,110","3,395,187","2,574,923","0","0","0","5,970,110","3,395,187","2,574,923",
" ","2890  ","永豐金          ","10,019,000","7,490,800","2,528,200","0","0","0","10,019,000","7,490,800","2,528,200",
" ","2636  ","台驊投控        ","8,886,000","6,445,000","2,441,000","0","0","0","8,886,000","6,445,000","2,441,000",
" ","2637  ","慧洋-KY         ","5,470,000","3,541,000","1,929,000","0","0","0","5,470,000","3,541,000","1,929,000",
" ","8150  ","南茂            ","4,994,000","3,256,150","1,737,850","0","0","0","4,994,000","3,256,150","1,737,850",
